headline,length,domain
Survey reveals 30% of respondents plan summer vacations,55,general
Fashion brand allegedly collaborating with renowned designer for exclusive collection,85,general
"""Will electric vehicles dominate the car market in the next decade?""",68,general
Health officials caution pandemic precautions still necessary,61,general
"""Local bakery rumored to introduce secret recipe for best-selling pastry""",73,general
Fashion designer predicts upcoming trends for the fall season,61,general
Police department hosts charity event for local shelters,56,general
NASA report highlights successful Mars rover mission discoveries,64,general
Celebrity chef shares top cooking tips for home cooks,53,celebrity
Ariana Grande shares insights on upcoming music video production,64,general
Investment advisors recommend diversifying portfolio amid market volatility,75,general
Expert predicts stock market volatility to increase in coming months,68,general
Online streaming service reports surge in subscribers after exclusive content release,85,general
Mayor promises increased funding for public safety initiatives,62,general
Construction industry sees 8% growth in infrastructure projects,63,general
Cryptocurrency market experiences fluctuations amid global economic uncertainty,79,general
"Scientist claims, Breakthrough in renewable energy research achieved",68,general
Scientist claims recent study findings could shape future policies,66,general
Mayor declares sustainability initiatives key to citys future,61,general
Will the new tech gadget revolutionize home entertainment?,58,general
Local sports team secures championship title in thrilling final match,69,general
Can innovative green energy solutions combat climate change effectively?,72,general
Mayor confirms plans for revitalizing downtown district,55,general
Local mayor vows increased funding for public infrastructure projects,69,general
"""Are environmental regulations affecting local businesses negatively?""",70,general
Survey reveals 25% of respondents prioritize mental health benefits,67,general
Survey reveals 30% increase in online shopping during holidays,62,general
Expert analysis predicts stock market surge in coming months,60,general
"Company spokesperson confirms, Merger negotiations are in progress",66,general
Stock market sees 15% surge as investor confidence grows,56,general
"""New park renovations to enhance community recreational facilities""",67,general
Celebrity chef opens 5th restaurant location in New York City,61,celebrity
Travel industry sees 30% increase in bookings for upcoming holiday season,73,general
Travel industry sees 15% increase in bookings for summer vacations,66,general
Renowned chef shares secret to perfecting classic Italian recipes,65,general
CEO emphasizes importance of innovation for long-term business success,70,general
Government report highlights job market growth in urban areas,61,general
"""Local cafe rumored to introduce unique seasonal menu items""",60,general
Congressional leader states bipartisan cooperation remains priority,67,political
Police department launches neighborhood watch initiative,56,general
Lady Gaga collaborates with renowned fashion designer,53,general
Unemployment rate drops to 4.2% in latest labor market data,59,general
